type,sec,sample
true,0.78125,100
true,1.0703125,137
true,1.8359375,235
true,3.1953125,409
true,4.3984375,563
true,5.4453125,697
true,6.4453125,825
true,6.75,864
true,7.6328125,977
true,8.7421875,1119
true,9.7734375,1251
true,10.9453125,1401
true,12.1484375,1555
true,13.3046875,1703
true,14.5390625,1861
true,15.7890625,2021
true,16.9609375,2171
true,18.0546875,2311
true,19.125,2448
true,20.1875,2584
true,21.2265625,2717
true,22.53125,2884
true,23.859375,3054
true,25.1015625,3213
true,26.2734375,3363
true,27.515625,3522
true,28.7890625,3685
true,30.078125,3850
true,31.234375,3998
true,32.2421875,4127
true,33.3359375,4267
true,34.8203125,4457
true,36.1328125,4625
true,37.3828125,4785
true,38.71875,4956
true,39.9453125,5113
true,41.09375,5260
true,42.078125,5386
true,43.140625,5522
true,44.5,5696
true,45.6328125,5841
true,45.9375,5880
true,46.9921875,6015
true,48.3671875,6191
true,49.6484375,6355
true,50.8828125,6513
true,52.0,6656
true,53.1015625,6797
true,54.3671875,6959
true,55.703125,7130
true,56.953125,7290
true,58.109375,7438
true,59.1796875,7575
true,60.0859375,7691
true,60.9296875,7799
true,61.9921875,7935
true,62.2890625,7973
true,63.484375,8126
true,64.53125,8260
true,64.828125,8298
true,65.4921875,8383
true,65.796875,8422
true,66.7421875,8543
true,67.046875,8582
true,68.1171875,8719
true,69.25,8864
true,69.5546875,8903
true,70.3671875,9007
true,70.671875,9046
true,71.6796875,9175
true,72.8984375,9331
true,74.125,9488
true,75.4609375,9659
true,76.7421875,9823
true,78.078125,9994
true,79.296875,10150
true,80.5078125,10305
true,81.765625,10466
true,83.03125,10628
true,84.2578125,10785
true,85.4765625,10941
true,86.640625,11090
true,87.640625,11218
true,88.53125,11332
true,89.4765625,11453
true,90.921875,11638
true,92.015625,11778
true,92.96875,11900
true,94.015625,12034
true,95.484375,12222
true,96.921875,12406
true,98.296875,12582
true,99.703125,12762
true,101.03125,12932
true,102.375,13104
true,103.671875,13270
true,104.96875,13436
true,106.109375,13582
true,107.0625,13704
true,107.984375,13822
true,109.1875,13976
true,110.59375,14156
true,111.6796875,14295
true,113.0078125,14465
true,114.2578125,14625
true,115.6015625,14797
true,116.9296875,14967
true,118.328125,15146
true,119.65625,15316
true,120.9375,15480
true,122.203125,15642
true,123.3984375,15795
true,124.546875,15942
true,125.8203125,16105
true,127.15625,16276
true,128.359375,16430
true,129.328125,16554
true,130.2421875,16671
true,131.4375,16824
true,132.4765625,16957
true,133.4453125,17081
true,134.921875,17270
true,136.1484375,17427
true,137.1796875,17559
true,138.59375,17740
true,140.0,17920
true,141.3125,18088
true,142.625,18256
true,143.8671875,18415
true,145.015625,18562
true,146.203125,18714
true,147.453125,18874
true,148.6796875,19031
true,149.859375,19182
true,150.984375,19326
true,152.0703125,19465
true,153.0625,19592
true,154.015625,19714
true,155.4296875,19895
true,156.390625,20018
true,157.3125,20136
true,157.6171875,20175
true,158.7578125,20321
true,160.1484375,20499
true,161.6171875,20687
true,163.0859375,20875
true,164.4609375,21051
true,165.796875,21222
true,167.0546875,21383
true,168.2578125,21537
true,169.359375,21678
true,170.3984375,21811
true,171.7578125,21985
true,172.90625,22132
true,173.828125,22250
true,174.7421875,22367
true,175.7265625,22493
true,176.6875,22616
true,178.1484375,22803
true,179.5234375,22979
true,180.84375,23148
true,182.140625,23314
true,183.3203125,23465
true,184.5234375,23619
true,185.78125,23780
true,187.0625,23944
true,188.2265625,24093
true,189.4375,24248
true,190.4921875,24383
true,191.390625,24498
true,192.3046875,24615
true,193.71875,24796
true,194.6953125,24921
true,195.6484375,25043
true,197.0859375,25227
true,198.4375,25400
true,199.796875,25574
true,201.078125,25738
true,202.375,25904
true,203.7109375,26075
true,205.0078125,26241
true,206.328125,26410
true,207.53125,26564
true,208.7578125,26721
true,209.921875,26870
true,211.03125,27012
true,212.1640625,27157
true,213.3671875,27311
true,214.3828125,27441
true,215.25,27552
true,216.15625,27668
true,217.609375,27854
true,218.5859375,27979
true,219.484375,28094
true,220.515625,28226
true,220.8203125,28265
true,221.8359375,28395
true,223.0078125,28545
true,224.4765625,28733
true,225.796875,28902
true,227.15625,29076
true,228.5234375,29251
true,229.875,29424
true,231.046875,29574
true,232.1953125,29721
true,233.53125,29892
true,234.875,30064
true,235.9921875,30207
true,237.046875,30342
true,238.1640625,30485
true,239.53125,30660
true,240.765625,30818
true,241.875,30960
true,242.859375,31086
true,244.09375,31244
true,245.484375,31422
true,246.6171875,31567
true,247.59375,31692
true,248.6015625,31821
true,250.1484375,32019
true,251.5625,32200
true,252.796875,32358
true,254.0859375,32523
true,255.3828125,32689
true,256.6484375,32851
true,257.6953125,32985
true,258.65625,33108
true,259.65625,33236
true,260.8671875,33391
true,261.8984375,33523
true,263.3359375,33707
true,264.71875,33884
true,265.953125,34042
true,267.171875,34198
true,268.390625,34354
true,269.59375,34508
true,270.78125,34660
true,271.9140625,34805
true,273.0625,34952
true,274.2890625,35109
true,275.4453125,35257
true,276.5859375,35403
true,277.8671875,35567
true,278.9453125,35705
true,279.8125,35816
true,280.6640625,35925
true,280.9609375,35963
true,282.109375,36110
true,283.046875,36230
